frase,columna,pista,tipo,verbo_correcto,distractores
"By the time we got there, they had already ___ the tickets.",participio,"Con have/has/had se usa el participio pasado.",mismo_verbo,,
"My sister wants to ___ a new language this year.",infinitivo,"'Learn a language' es la expresión correcta; romper o cantar un idioma no tiene sentido.",verbos_mezclados,learn,break|sing
"The manager needs to ___ the report before noon.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"We decided to ___ a walk after dinner.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"I forgot to ___ the lights off last night.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"She agreed to ___ him with the project.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"They offered to ___ us to the airport.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"He pretended to ___ nothing about the accident.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"The children love to ___ in the garden.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"I can't afford to ___ a new car right now.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"She managed to ___ the exam despite being sick.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"We expect to ___ the results by Friday.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"The team wants to ___ every match this season.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"I hate to ___ you, but we have to leave.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"He learned to ___ when he was six years old.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"They chose to ___ in the city instead of the countryside.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"The doctor advised her to ___ more water every day.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"I'm planning to ___ my parents next weekend.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"She wishes to ___ a famous painter one day.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"We need to ___ this decision very carefully.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"He refused to ___ his opinion, even under pressure.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"You must ___ your homework before dinner.",infinitivo,"'Do homework' es la expresión correcta; comer o cantar la tarea no tiene sentido.",verbos_mezclados,do,eat|sing
"She can ___ three languages fluently.",infinitivo,"Después de un modal (must, can, should, will, could...) va el infinitivo sin 'to'.",mismo_verbo,,
"We should ___ more careful with our money.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"They might ___ the party if it rains.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"I could ___ a bike when I was five.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"He will ___ the truth eventually.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"You shouldn't ___ so much sugar.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"We can't ___ the answer without more information.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"The students must ___ the rules of the school.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"She would never ___ a lie to her friends.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"You may ___ your seat now.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"We must ___ the door before we leave.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"I can ___ the mountain from my window.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"They should ___ the letter before sending it.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"He can ___ a whole cake in one sitting.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"Please ___ the door when you leave.",infinitivo,"'Shut the door' es la expresión correcta; comer o cantar una puerta no tiene sentido.",verbos_mezclados,shut,eat|sing
"Don't ___ that glass, it's fragile.",infinitivo,"Las órdenes usan la forma base del verbo, igual al infinitivo.",mismo_verbo,,
"I usually ___ my keys somewhere in the house.",infinitivo,"Con 'I/you/we/they', el presente simple coincide con la forma base del verbo.",mismo_verbo,,
"We often ___ coffee in the morning.",infinitivo,"Con 'I/you/we/they', el presente simple coincide con la forma base del verbo.",mismo_verbo,,
"Please ___ your homework carefully.",infinitivo,"Las instrucciones usan la forma base del verbo, igual al infinitivo.",mismo_verbo,,
"Don't ___ the rules of the game.",infinitivo,"Las órdenes usan la forma base del verbo, igual al infinitivo.",mismo_verbo,,
"They rarely ___ this kind of mistake.",infinitivo,"Con 'I/you/we/they', el presente simple coincide con la forma base del verbo.",mismo_verbo,,
"If it rains tomorrow, we will ___ at home.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"If she studies hard, she will ___ the exam.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"If you hurry, you will ___ the bus.",infinitivo,"'Catch the bus' es la expresión correcta; comer o cantar el bus no tiene sentido.",verbos_mezclados,catch,eat|sing
"If he apologizes, I will ___ him.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"If we save enough money, we will ___ a house.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"If they arrive late, they will ___ the beginning of the movie.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"If you touch the stove, you will ___ your hand.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"If I see her, I will ___ her the news.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"If the team wins, they will ___ the championship.",infinitivo,"En la condicional tipo 1, después de 'will/won't' va el infinitivo sin 'to'.",mismo_verbo,,
"I used to ___ every morning before school.",infinitivo,"Después de 'used to' va el infinitivo sin 'to' (hábito en el pasado).",mismo_verbo,,
"She used to ___ a lot of books when she was young.",infinitivo,"Después de 'used to' va el infinitivo sin 'to'.",mismo_verbo,,
"We used to ___ in that old house by the river.",infinitivo,"Después de 'used to' va el infinitivo sin 'to'.",mismo_verbo,,
"He used to ___ his bike to work every day.",infinitivo,"'Ride a bike' es la expresión correcta; comer o cantar una bicicleta no tiene sentido.",verbos_mezclados,ride,eat|sing
"They used to ___ together every Sunday.",infinitivo,"Después de 'used to' va el infinitivo sin 'to'.",mismo_verbo,,
"I used to ___ that song when I was a child.",infinitivo,"Después de 'used to' va el infinitivo sin 'to'.",mismo_verbo,,
"She used to ___ afraid of the dark.",infinitivo,"Después de 'used to' va el infinitivo sin 'to'.",mismo_verbo,,
"We used to ___ letters instead of emails.",infinitivo,"Después de 'used to' va el infinitivo sin 'to'.",mismo_verbo,,
"We are going to ___ a new house next year.",infinitivo,"Después de 'going to' va el infinitivo sin 'to' (plan futuro).",mismo_verbo,,
"She is going to ___ the truth to her parents.",infinitivo,"Después de 'going to' va el infinitivo sin 'to'.",mismo_verbo,,
"They are going to ___ the trophy this season.",infinitivo,"'Win a trophy' es la expresión correcta; comer o cantar un trofeo no tiene sentido.",verbos_mezclados,win,eat|sing
"I am going to ___ my grandmother this weekend.",infinitivo,"Después de 'going to' va el infinitivo sin 'to'.",mismo_verbo,,
"He is going to ___ a decision by tomorrow.",infinitivo,"Después de 'going to' va el infinitivo sin 'to'.",mismo_verbo,,
"We are going to ___ the mountain next summer.",infinitivo,"Después de 'going to' va el infinitivo sin 'to'.",mismo_verbo,,
"She is going to ___ her exam results tomorrow.",infinitivo,"Después de 'going to' va el infinitivo sin 'to'.",mismo_verbo,,
"They are going to ___ the old building down.",infinitivo,"Después de 'going to' va el infinitivo sin 'to'.",mismo_verbo,,
"Let's ___ a walk in the park.",infinitivo,"Después de 'let's' o 'shall we' va el infinitivo sin 'to'.",mismo_verbo,,
"Shall we ___ the truth to him now?",infinitivo,"Después de 'let's' o 'shall we' va el infinitivo sin 'to'.",mismo_verbo,,
"Let's ___ this problem together.",infinitivo,"Después de 'let's' o 'shall we' va el infinitivo sin 'to'.",mismo_verbo,,
"Shall we ___ a decision before the meeting?",infinitivo,"Después de 'let's' o 'shall we' va el infinitivo sin 'to'.",mismo_verbo,,
"Let's ___ the letter before it's too late.",infinitivo,"Después de 'let's' o 'shall we' va el infinitivo sin 'to'.",mismo_verbo,,
"I want to ___ a difference in the world.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"She needs to ___ her decision before Monday.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"We plan to ___ the whole city on foot.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"He promised to ___ home before midnight.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"You should ___ the instructions carefully.",infinitivo,"Después de un modal va el infinitivo sin 'to'.",mismo_verbo,,
"If we ___ together, we can solve this faster.",infinitivo,"Con 'we', el presente simple del 'if' coincide con la forma base del verbo.",mismo_verbo,,
"If they ___ now, they'll catch the train.",infinitivo,"Con 'they', el presente simple del 'if' coincide con la forma base del verbo.",mismo_verbo,,
"If I ___ that again, tell me right away.",infinitivo,"Con 'I', el presente simple del 'if' coincide con la forma base del verbo.",mismo_verbo,,
"Last Monday, she ___ a very strange dream.",pasado,"'Last Monday' indica pasado simple.",mismo_verbo,,
"Two years ago, we ___ to a new city.",pasado,"'Two years ago' indica pasado simple.",mismo_verbo,,
"Last week, he ___ his phone at the office.",pasado,"'Last week' indica pasado simple.",mismo_verbo,,
"In 1998, my parents ___ married.",pasado,"Una fecha específica en el pasado indica pasado simple.",mismo_verbo,,
"A few minutes ago, the phone ___ twice.",pasado,"'A few minutes ago' indica pasado simple.",mismo_verbo,,
"Last month, the company ___ a new manager.",pasado,"'Last month' indica pasado simple.",mismo_verbo,,
"When she was a teenager, she ___ every weekend.",pasado,"Una acción habitual en el pasado se expresa con pasado simple.",mismo_verbo,,
"Last Friday night, they ___ a huge dinner.",pasado,"'Last Friday night' indica pasado simple.",mismo_verbo,,
"Three days ago, I ___ a letter from an old friend.",pasado,"'Three days ago' indica pasado simple.",mismo_verbo,,
"Last spring, the garden ___ beautifully.",pasado,"'Last spring' indica pasado simple.",mismo_verbo,,
"In the 1990s, this town ___ very different.",pasado,"Una época específica en el pasado indica pasado simple.",mismo_verbo,,
"Earlier today, she ___ her purse on the bus.",pasado,"'Earlier today' indica una acción ya terminada en pasado simple.",mismo_verbo,,
"Last winter, it ___ almost every day.",pasado,"'Last winter' indica pasado simple.",mismo_verbo,,
"A moment ago, someone ___ at the door.",pasado,"'A moment ago' indica pasado simple.",mismo_verbo,,
"Last year, he ___ his job to travel the world.",pasado,"'Last year' indica pasado simple.",mismo_verbo,,
"When I was a child, I ___ of becoming a pilot.",pasado,"Una situación en el pasado se expresa con pasado simple.",mismo_verbo,,
"Long ago, people ___ everything by hand.",pasado,"'Long ago' indica pasado simple.",mismo_verbo,,
"Yesterday morning, the alarm ___ very loud.",pasado,"'Yesterday morning' indica pasado simple.",mismo_verbo,,
"Last Christmas, we ___ a wonderful time together.",pasado,"'Last Christmas' indica pasado simple.",mismo_verbo,,
"At the meeting yesterday, nobody ___ a word.",pasado,"'Yesterday' indica pasado simple.",mismo_verbo,,
"Two hours ago, the store ___ its doors early.",pasado,"'Two hours ago' indica pasado simple.",mismo_verbo,,
"Last semester, she ___ three new languages.",pasado,"'Last semester' indica pasado simple.",mismo_verbo,,
"In the final match, the team ___ the game easily.",pasado,"El contexto describe una acción ya terminada en el pasado.",mismo_verbo,,
"Not long ago, this street ___ full of shops.",pasado,"'Not long ago' indica pasado simple.",mismo_verbo,,
"Last night, the wind ___ the windows loudly.",pasado,"'Last night' indica pasado simple.",mismo_verbo,,
"During the storm, several trees ___ down.",pasado,"El contexto describe una acción ya terminada en el pasado.",mismo_verbo,,
"Right after the accident, an ambulance ___ him to the hospital.",pasado,"El contexto describe una secuencia de hechos ya terminados en el pasado.",mismo_verbo,,
"Before the trip, they ___ their bags carefully.",pasado,"El contexto describe una acción ya terminada en el pasado.",mismo_verbo,,
"As soon as she arrived, she ___ everyone a big hug.",pasado,"Una acción inmediata en el pasado se expresa con pasado simple.",mismo_verbo,,
"The moment he saw her, he ___ her name.",pasado,"Una acción inmediata en el pasado se expresa con pasado simple.",mismo_verbo,,
"If I ___ you, I would apologize right away.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If she ___ more time, she would finish the project.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If we ___ the rules, we wouldn't be in trouble now.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If he ___ harder, he would pass the exam.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If they ___ the truth, everyone would trust them more.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If I ___ a million dollars, I would travel the world.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If you ___ me sooner, I would be able to help.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If she ___ the door open, the cat wouldn't run outside.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If we ___ less, we would save more money.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If he ___ his temper, he would have more friends.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If I ___ the answer, I would tell you immediately.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If they ___ their homework, they wouldn't worry now.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If you ___ to the doctor, you would feel better.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If she ___ in this city, she would visit us more often.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"If we ___ the map, we wouldn't get lost.",pasado,"En la condicional tipo 2, el 'if' va seguido de pasado simple.",mismo_verbo,,
"The war ___ many years ago.",pasado,"Una expresión con 'ago' indica pasado simple.",mismo_verbo,,
"This tradition ___ centuries ago.",pasado,"Una expresión con 'ago' indica pasado simple.",mismo_verbo,,
"The company ___ its first product decades ago.",pasado,"Una expresión con 'ago' indica pasado simple.",mismo_verbo,,
"He ___ this house a long time ago.",pasado,"Una expresión con 'ago' indica pasado simple.",mismo_verbo,,
"The bridge ___ over a hundred years ago.",pasado,"Una expresión con 'ago' indica pasado simple.",mismo_verbo,,
"She ___ the company shortly before it closed.",pasado,"El contexto describe una acción ya terminada en el pasado.",mismo_verbo,,
"The letter ___ weeks before it finally arrived.",pasado,"El contexto describe una acción ya terminada en el pasado.",mismo_verbo,,
"The photo ___ many years before the fire.",pasado,"El contexto describe una acción ya terminada en el pasado.",mismo_verbo,,
"The team ___ the record just last season.",pasado,"'Last season' indica pasado simple.",mismo_verbo,,
"The building ___ down decades ago.",pasado,"Una expresión con 'ago' indica pasado simple.",mismo_verbo,,
"First, she ___ the door, then she turned off the lights.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"He woke up, ___ his coffee, and left for work.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"They arrived, ___ their bags, and went straight to bed.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"She opened the box and ___ what was inside.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"He picked up the phone and ___ his mother right away.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"The teacher entered the room and ___ the lesson.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"She finished her homework and then ___ a movie.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"He locked the door and ___ down the street.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"The chef tasted the soup and ___ more salt.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"She read the letter twice and then ___ it away.",pasado,"Una acción ya completada dentro de una secuencia se expresa en pasado simple.",mismo_verbo,,
"She has ___ at that restaurant many times.",participio,"'Eat at a restaurant' es la expresión correcta; escribir o vestir un restaurante no tiene sentido.",verbos_mezclados,eat,write|wear
"I have never ___ such a delicious meal.",participio,"'Eat a delicious meal' es la expresión correcta; romper o vestir una comida no tiene sentido.",verbos_mezclados,eat,break|wear
"They have already ___ the entire house.",participio,"Con have/has se usa el participio pasado (presente perfecto).",mismo_verbo,,
"We have ___ this song since we were kids.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"He has just ___ the news about the merger.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"Have you ever ___ a shooting star?",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"She hasn't ___ from him in weeks.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"The company has ___ its profits this year.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"I have ___ this exact problem before.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"We have ___ friends since university.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"He has ___ every book on that shelf.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"They have ___ their minds about the trip.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"She has ___ a new record this season.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"I have ___ my keys somewhere, I can't find them.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"We have ___ this discussion many times already.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"He has never ___ to another country.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"The children have ___ all their vegetables.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"She has ___ the piano since she was five.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"I've ___ that movie at least ten times.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"They have ___ a new strategy for the project.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"We have ___ the results, and they're excellent.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"He has ___ so much since I last saw him.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"I have ___ this letter three times and still don't understand it.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"She has ___ every challenge with confidence.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"The store has ___ its prices twice this year.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"We have ___ nothing but good news lately.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"He has ___ his lesson the hard way.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"I have ___ many mistakes, but I've learned from them.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"She has ___ her way to the top of the company.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"They have ___ the championship three years in a row.",participio,"Con have/has se usa el participio pasado.",mismo_verbo,,
"By the time we arrived, the movie had already ___.",participio,"'Begin' (comenzar) es lo que tiene sentido con 'the movie'; comer o vestir una película no tiene sentido.",verbos_mezclados,begin,eat|wear
"She had never ___ snow before that winter.",participio,"'See snow' es la expresión correcta; romper o cantar la nieve no tiene sentido.",verbos_mezclados,see,break|sing
"He had ___ the letter before anyone noticed it was missing.",participio,"Con had se usa el participio pasado (pasado perfecto).",mismo_verbo,,
"They had ___ the house before the storm hit.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"I had ___ my homework long before dinner.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"By noon, the team had already ___ the match.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"She had ___ three books before she turned ten.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"We had ___ everything ready before the guests arrived.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"He had ___ his mind before we even asked him.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"By the time the police arrived, the thief had already ___.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"She had ___ the truth long before she told anyone.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"They had ___ all the tickets before we got there.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"I had ___ him somewhere before, but I couldn't remember where.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"The company had already ___ its plans before the announcement.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"By the time she woke up, the sun had already ___.",participio,"Con had se usa el participio pasado.",mismo_verbo,,
"The window was ___ during the storm.",participio,"'The window was broken' es lo que tiene sentido con una tormenta; comer o vestir una ventana no.",verbos_mezclados,break,eat|wear
"This song has been ___ by many famous singers.",participio,"La voz pasiva se forma con be (is/was/were/been) + participio pasado.",mismo_verbo,,
"The letter was ___ by hand a hundred years ago.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The championship was ___ by the home team.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The cake was ___ by my grandmother.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The building was ___ before the earthquake.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The rules must be ___ by everyone.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The decision was ___ after a long discussion.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The bridge was ___ over a century ago.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The tickets have already been ___ for the concert.",participio,"La voz pasiva se forma con be (is/was/were/been) + participio pasado.",mismo_verbo,,
"The truth was finally ___ after the investigation.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The room was ___ before the guests arrived.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The movie is ___ all over the world.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The problem was ___ by the whole team.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"The champion was ___ with a big trophy.",participio,"La voz pasiva se forma con be + participio pasado.",mismo_verbo,,
"If I had known, I would have ___ something different.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If she had studied more, she would have ___ the exam.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If we had left earlier, we would have ___ the train.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If he had listened, he would have ___ the mistake.",participio,"'See the mistake' es la expresión correcta; comer o vestir un error no tiene sentido.",verbos_mezclados,see,eat|wear
"If they had asked, I would have ___ them the truth.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If you had told me, I would have ___ you immediately.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If I had seen the sign, I would have ___ a different road.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If she had known the answer, she would have ___ it.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If we had practiced more, we would have ___ the game.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"If he had saved his money, he would have ___ a car by now.",participio,"En la condicional tipo 3, 'would have' va seguido de participio pasado.",mismo_verbo,,
"This car has ___ me a fortune.",participio,"'Cost a fortune' es la expresión correcta; comer o cantar una fortuna no tiene sentido.",verbos_mezclados,cost,eat|sing
"Please ___ the vegetables for the salad.",infinitivo,"'Cut vegetables' es la expresión correcta; comer o cantar verduras no tiene sentido en esta instrucción.",verbos_mezclados,cut,eat|sing
"The ball ___ the window and broke it.",pasado,"'Hit the window' es lo que tiene sentido; comer o cantar una ventana no.",verbos_mezclados,hit,eat|sing
